fabric_code,images,mean_dice,image_accuracy
00,4,0.19062887143858223,1.0
01,5,0.15725007831665389,0.6
02,11,0.12537423202485842,0.5454545454545454
03,4,0.15366589654963225,1.0
04,4,0.0,0.5
05,3,0.0,1.0
06,7,0.0007342143906020558,0.42857142857142855
