epoch,learning_rate,train_loss,train_dice,train_iou,validation_loss,validation_dice,validation_iou
1,0.0003,0.3742974234074082,0.18105655950760324,0.09953941143908816,0.13110139462121487,0.006210437389600157,0.0031148911129161723
2,0.0003,0.18346648089846485,0.522735047710101,0.3538532792643681,0.04504883833657447,0.4311376080406899,0.27480906563274404
3,0.0003,0.15993356299356742,0.571900123075374,0.4004622732038498,0.05122752328139,0.369451701883095,0.2265812685890808
4,0.0003,0.14976074726642594,0.6128422267189272,0.4417970605242393,0.03245257872874169,0.4537402327606838,0.29344372942638813
5,0.0003,0.14372795458467613,0.6280656579008232,0.4577957112290295,0.06078384924724044,0.1012478755777345,0.053323377114609556
6,0.0003,0.13721950583745618,0.6545696374447815,0.48651320474263265,0.025540807081474545,0.5516463837599788,0.3808782451843997
7,0.0003,0.13525246815718506,0.6601514219407338,0.49270599137176013,0.04140187256868828,0.31086489769548886,0.18403791222583168
8,0.0003,0.12472145018292084,0.6719178800907978,0.5059309737087155,0.036015501744554354,0.3381595717233428,0.20348498325679631
9,0.0003,0.12424613740533536,0.7089657286739959,0.5491455528487454,0.04748413282465441,0.2261092596911691,0.1274651558594888
10,0.00015,0.11341404793903205,0.7132551295528186,0.5543096739176754,0.03222260343357669,0.3620371281196751,0.22102889774544704
11,0.00015,0.11110619247313827,0.7230835266418316,0.5662731601701332,0.03491178951918374,0.25575762662344603,0.14662963732978412
12,0.00015,0.1037720938786946,0.7337129053308782,0.5794206609383442,0.03607773621459617,0.3231643221465354,0.1927227136294127
13,7.5e-05,0.10276087821347187,0.7198411283848241,0.5623060889908147,0.03850876740840692,0.25627979743306467,0.1469730046459257
14,7.5e-05,0.09769814227600421,0.747413183061835,0.5966957123888776,0.02840347767562127,0.4121499777085491,0.2595648026718349
