epoch,learning_rate,train_loss,train_dice,train_iou,validation_loss,validation_dice,validation_iou
1,0.0003,0.7054520017704101,0.19768379080550494,0.10968318977381628,0.6382949271717587,0.37900163006032905,0.233807533115801
2,0.0003,0.4952895144330954,0.6263186105091744,0.4559416872797033,0.7476097780304987,0.17761926936793998,0.09746551112090387
3,0.0003,0.460208667871939,0.6869709157669911,0.523195505732668,0.7587482139870927,0.22241375641107494,0.12512121828869707
4,0.0003,0.3962900848885559,0.739771545336561,0.5870138407040865,0.44801206685401296,0.5737541865421699,0.4022828190823181
5,0.0003,0.2651959399636528,0.7573429049904005,0.6094544569308961,0.6427261462888202,0.19841262485363587,0.11013211326345827
6,0.0003,0.2118257860705883,0.733024161706806,0.5785620684718812,0.9496688071175831,0.1434507430727601,0.0772674048574312
7,0.0003,0.18124013343720374,0.7792502643913446,0.6383374426887073,0.8545366501800615,0.22543234691237637,0.12703508176774203
8,0.00015,0.14436082647095214,0.7836067572018041,0.6442051218561458,0.7543999151259069,0.18460019084606197,0.10168569475177722
9,0.00015,0.1304837406825758,0.7986342749644225,0.6647719826872633,1.085245491035764,0.127816573879965,0.06827139483060997
10,0.00015,0.13292710233813448,0.8224600354866582,0.6984561545871334,0.962010053239725,0.1338301179161711,0.07171379154760114
11,7.5e-05,0.1251234210905035,0.8198452821768655,0.694693051508635,0.7578008228152318,0.22545135753317205,0.12704715561911484
