epoch,learning_rate,train_loss,train_dice,train_iou,validation_loss,validation_dice,validation_iou
1,0.0003,0.6909702284026625,0.17597334034463907,0.09647520194572605,0.5710771075777106,0.4493156595591349,0.289753141784738
2,0.0003,0.49277864779589164,0.6637705628621795,0.49674894476502796,0.6175391400182569,0.2998527190905725,0.176368672560049
3,0.0003,0.4473575672131352,0.7240004339045611,0.5673986521171036,0.6986914325404812,0.3747756964408115,0.2305993674965756
4,0.0003,0.3722522070682463,0.7561665675409666,0.6079323386942901,0.6835050366416171,0.315430862571028,0.18724720497518182
5,0.00015,0.2396282640954912,0.7733933936876153,0.6305146162653654,0.8310339959036257,0.24107431490696726,0.13705770343231777
6,0.00015,0.1767876346815221,0.8072923608499928,0.6768568711652726,1.0445096722011127,0.06956082131230978,0.03603367673028535
7,0.00015,0.15303529363118754,0.8077600479975376,0.6775146619108344,0.970291706352696,0.10085672722974016,0.053106434188412516
8,7.5e-05,0.12956051754014367,0.8089792013970354,0.6792318004403838,1.1052045857445714,0.08130383501912149,0.042374523128278496
